time,discharge
2015-04-02 08:45:00,56.0622
2015-04-02 09:00:00,56.3833
2015-04-02 09:15:00,56.8148
2015-04-02 09:30:00,56.169
2015-04-02 09:45:00,55.4261
2015-04-02 10:00:00,55.9556
2015-04-02 10:15:00,56.3833
2015-04-02 10:30:00,55.8492
2015-04-02 10:45:00,55.4261
2015-04-02 11:00:00,55.216
2015-04-02 11:15:00,55.0068
2015-04-02 11:30:00,55.1113
2015-04-02 11:45:00,54.9025
2015-04-02 12:00:00,55.0068
2015-04-02 12:15:00,55.4261
2015-04-02 12:30:00,55.4261
2015-04-02 12:45:00,54.2819
2015-04-02 13:00:00,55.0068
2015-04-02 13:15:00,54.2819
2015-04-02 13:30:00,54.3848
2015-04-02 13:45:00,54.7985
2015-04-02 14:00:00,55.1113
2015-04-02 14:15:00,54.9025
2015-04-02 14:30:00,53.7711
2015-04-02 14:45:00,54.7985
2015-04-02 15:00:00,54.4878
2015-04-02 15:15:00,55.0068
2015-04-02 15:30:00,54.2819
2015-04-02 15:45:00,54.3848
2015-04-02 16:00:00,54.2819
2015-04-02 16:15:00,53.9747
2015-04-02 16:30:00,54.1793
2015-04-02 16:45:00,54.0769
2015-04-02 17:00:00,53.5684
2015-04-02 17:15:00,53.7711
2015-04-02 17:30:00,53.6697
2015-04-02 17:45:00,53.8728
2015-04-02 18:00:00,53.9747
2015-04-02 18:15:00,54.2819
2015-04-02 18:30:00,54.0769
2015-04-02 18:45:00,53.1659
2015-04-02 19:00:00,53.4674
2015-04-02 19:15:00,53.9747
2015-04-02 19:30:00,53.8728
2015-04-02 19:45:00,53.5684
2015-04-02 20:00:00,54.1793
2015-04-02 20:15:00,53.8728
2015-04-02 20:30:00,52.966
2015-04-02 20:45:00,54.1793
2015-04-02 21:00:00,53.1659
2015-04-02 21:15:00,53.5684
2015-04-02 21:30:00,53.8728
2015-04-02 21:45:00,53.3667
2015-04-02 22:00:00,53.9747
2015-04-02 22:15:00,54.5912
2015-04-02 22:30:00,53.9747
2015-04-02 22:45:00,54.1793
2015-04-02 23:00:00,53.8728
2015-04-02 23:15:00,54.2819
2015-04-02 23:30:00,53.8728
2015-04-02 23:45:00,54.3848
2015-04-03 00:00:00,54.0769
2015-04-03 00:15:00,53.9747
2015-04-03 00:30:00,53.7711
2015-04-03 00:45:00,53.2661
2015-04-03 01:00:00,54.1793
2015-04-03 01:15:00,54.4878
2015-04-03 01:30:00,54.3848
2015-04-03 01:45:00,53.8728
2015-04-03 02:00:00,53.7711
2015-04-03 02:15:00,53.9747
2015-04-03 02:30:00,54.1793
2015-04-03 02:45:00,53.9747
2015-04-03 03:00:00,53.2661
2015-04-03 03:15:00,54.1793
2015-04-03 03:30:00,53.5684
2015-04-03 03:45:00,53.6697
2015-04-03 04:00:00,53.5684
2015-04-03 04:15:00,53.8728
2015-04-03 04:30:00,54.1793
2015-04-03 04:45:00,53.0658
2015-04-03 05:00:00,53.5684
2015-04-03 05:15:00,53.1659
2015-04-03 05:30:00,53.4674
2015-04-03 05:45:00,53.3667
2015-04-03 06:00:00,52.4703
2015-04-03 06:15:00,53.8728
2015-04-03 06:30:00,52.8664
2015-04-03 06:45:00,52.8664
2015-04-03 07:00:00,52.966
2015-04-03 07:15:00,52.2737
2015-04-03 07:30:00,52.078
2015-04-03 07:45:00,51.5929
2015-04-03 08:00:00,51.6894
2015-04-03 08:15:00,51.7862
2015-04-03 08:30:00,50.9235
2015-04-03 08:45:00,51.4965
2015-04-03 09:00:00,51.209
2015-04-03 09:15:00,50.9235
2015-04-03 09:30:00,50.7343
2015-04-03 09:45:00,50.1724
2015-04-03 10:00:00,49.8946
2015-04-03 10:15:00,49.5275
2015-04-03 10:30:00,49.7106
